market_id,entry_secs,entry_price,side,resolution,win,ep_bin
1380091,48,0.955,DOWN,0,True,0.93-0.96
1380095,22,0.925,UP,1,True,0.90-0.93
1380098,47,0.925,UP,1,True,0.90-0.93
1380466,47,0.925,UP,1,True,0.90-0.93
1380470,42,0.95,DOWN,0,True,0.93-0.96
1380471,29,0.945,DOWN,0,True,0.93-0.96
1380472,30,0.905,DOWN,0,True,0.90-0.93
1380479,14,0.995,UP,1,True,>0.96
1380487,30,0.995,DOWN,0,True,>0.96
1380552,47,0.955,UP,1,True,0.93-0.96
1380553,46,0.995,DOWN,0,True,>0.96
1380558,47,0.995,UP,1,True,>0.96
1380559,47,0.975,UP,1,True,>0.96
1380632,47,0.945,UP,1,True,0.93-0.96
1380659,42,0.955,UP,1,True,0.93-0.96
1380736,46,0.96,UP,1,True,0.93-0.96
1380745,33,0.995,DOWN,0,True,>0.96
1380756,45,0.995,UP,1,True,>0.96
1380762,43,0.935,UP,1,True,0.93-0.96
1380784,43,0.93,UP,1,True,0.90-0.93
1380863,44,0.925,UP,1,True,0.90-0.93
1380876,21,0.95,DOWN,0,True,0.93-0.96
1380884,30,0.995,DOWN,0,True,>0.96
1380888,45,0.995,UP,1,True,>0.96
1380901,43,0.93,UP,1,True,0.90-0.93
1380904,47,0.94,DOWN,0,True,0.93-0.96
1380907,45,0.925,DOWN,0,True,0.90-0.93
1380963,35,0.945,DOWN,0,True,0.93-0.96
1380975,43,0.935,DOWN,0,True,0.93-0.96
1380984,47,0.975,DOWN,0,True,>0.96
1380998,44,0.955,UP,1,True,0.93-0.96
1381007,34,0.98,UP,1,True,>0.96
1381190,42,0.9955,DOWN,0,True,>0.96
1381199,42,0.91,UP,1,True,0.90-0.93
1381201,46,0.995,DOWN,0,True,>0.96
1381202,47,0.995,UP,1,True,>0.96
1381209,43,0.955,DOWN,0,True,0.93-0.96
1381212,42,0.925,UP,1,True,0.90-0.93
1381215,28,0.96,UP,1,True,0.93-0.96
1381391,44,0.895,UP,1,True,0.88-0.90
1381397,45,0.885,DOWN,0,True,0.88-0.90
1381400,41,0.945,DOWN,0,True,0.93-0.96
1381404,46,0.915,UP,1,True,0.90-0.93
1381446,46,0.9995,UP,1,True,>0.96
1381448,44,0.985,DOWN,0,True,>0.96
1381453,45,0.965,DOWN,0,True,>0.96
1381460,45,0.985,UP,1,True,>0.96
1381518,48,0.995,UP,1,True,>0.96
1381526,33,0.885,DOWN,0,True,0.88-0.90
1381527,29,0.955,DOWN,0,True,0.93-0.96
1381528,45,0.905,UP,1,True,0.90-0.93
1381533,44,0.985,DOWN,0,True,>0.96
1381534,30,0.995,DOWN,0,True,>0.96
1381536,43,0.905,UP,1,True,0.90-0.93
1381541,42,0.985,DOWN,0,True,>0.96
1381580,43,0.96,UP,1,True,0.93-0.96
1381595,43,0.935,UP,1,True,0.93-0.96
1381653,45,0.955,DOWN,0,True,0.93-0.96
1381654,47,0.935,UP,1,True,0.93-0.96
1381665,46,0.91,UP,1,True,0.90-0.93
1381672,44,0.96,DOWN,0,True,0.93-0.96
1381960,38,0.985,UP,1,True,>0.96
1382039,43,0.995,DOWN,0,True,>0.96
1382064,43,0.935,UP,1,True,0.93-0.96
1382083,31,0.925,DOWN,0,True,0.90-0.93
1382097,28,0.935,DOWN,0,True,0.93-0.96
1382102,33,0.96,UP,1,True,0.93-0.96
1382205,45,0.945,UP,1,True,0.93-0.96
1382212,45,0.925,DOWN,0,True,0.90-0.93
1382224,42,0.945,UP,1,True,0.93-0.96
1382226,35,0.96,UP,1,True,0.93-0.96
1382230,45,0.925,DOWN,0,True,0.90-0.93
1382410,40,0.92,DOWN,0,True,0.90-0.93
1382428,45,0.925,DOWN,0,True,0.90-0.93
1382434,44,0.985,UP,1,True,>0.96
1382496,45,0.995,UP,1,True,>0.96
1382502,42,0.965,UP,1,True,>0.96
1382532,46,0.955,DOWN,0,True,0.93-0.96
1382894,47,0.965,UP,1,True,>0.96
1382936,35,0.965,DOWN,0,True,>0.96
1382944,47,0.995,DOWN,0,True,>0.96
1382959,42,0.955,DOWN,0,True,0.93-0.96
1382975,47,0.985,DOWN,0,True,>0.96
1382981,42,0.935,UP,1,True,0.93-0.96
1382990,41,0.965,UP,1,True,>0.96
1383036,43,0.91,UP,1,True,0.90-0.93
1383039,29,0.92,DOWN,0,True,0.90-0.93
1383110,41,0.93,UP,1,True,0.90-0.93
1383113,45,0.965,UP,1,True,>0.96
1383119,45,0.945,UP,1,True,0.93-0.96
1383126,43,0.975,DOWN,0,True,>0.96
1383145,46,0.985,UP,1,True,>0.96
1383151,46,0.96,UP,1,True,0.93-0.96
1383224,42,0.945,UP,1,True,0.93-0.96
1383231,44,0.935,DOWN,0,True,0.93-0.96
1383236,43,0.89,UP,1,True,0.88-0.90
1383239,44,0.92,UP,1,True,0.90-0.93
1383244,25,0.92,UP,1,True,0.90-0.93
1383332,31,0.985,UP,1,True,>0.96
1383352,41,0.955,UP,1,True,0.93-0.96
1383365,46,0.91,DOWN,0,True,0.90-0.93
1383421,44,0.935,UP,1,True,0.93-0.96
1383466,41,0.96,DOWN,0,True,0.93-0.96
1383474,45,0.995,UP,1,True,>0.96
1383585,44,0.955,DOWN,0,True,0.93-0.96
1383594,45,0.995,DOWN,0,True,>0.96
1383644,44,0.935,UP,1,True,0.93-0.96
1383666,43,0.985,UP,1,True,>0.96
1383677,45,0.945,DOWN,0,True,0.93-0.96
1383678,42,0.915,DOWN,0,True,0.90-0.93
1383702,45,0.93,DOWN,0,True,0.90-0.93
1383709,46,0.995,DOWN,0,True,>0.96
1383718,46,0.995,DOWN,0,True,>0.96
1383728,43,0.955,UP,1,True,0.93-0.96
1383729,45,0.995,UP,1,True,>0.96
1383736,42,0.935,DOWN,0,True,0.93-0.96
1383742,46,0.965,DOWN,0,True,>0.96
1383758,32,0.965,DOWN,0,True,>0.96
