market_id,entry_secs,entry_price,side,resolution,win
1897670,60,0.99,UP,1,True
1897934,60,0.99,UP,1,True
1898105,60,0.94,DOWN,0,True
1898114,34,0.89,UP,1,True
1898124,4,0.9,UP,1,True
1898419,59,0.95,DOWN,1,False
1898432,60,0.99,UP,1,True
1898443,60,0.99,UP,1,True
1898448,60,0.99,DOWN,0,True
1898505,52,0.89,DOWN,0,True
1898536,46,0.92,DOWN,0,True
1898549,60,0.99,UP,1,True
1898566,29,0.94,DOWN,0,True
1898611,9,0.89,DOWN,0,True
1898749,41,0.91,DOWN,0,True
1898784,20,0.95,DOWN,0,True
1898795,59,0.96,UP,1,True
1898969,59,0.88,UP,1,True
1898979,52,0.88,DOWN,0,True
1898993,34,0.93,UP,1,True
1899010,60,0.99,DOWN,0,True
1899039,60,0.99,UP,1,True
1899052,56,0.91,DOWN,0,True
1899075,60,0.96,DOWN,0,True
1899083,60,0.89,DOWN,0,True
1899217,60,0.97,UP,1,True
1899469,60,0.98,DOWN,0,True
1899610,0,0.99,UP,1,True
1899617,60,0.9,DOWN,0,True
1899820,60,0.99,DOWN,0,True
1899933,60,0.96,UP,0,False
1900038,59,0.88,DOWN,0,True
1900058,10,0.89,UP,1,True
1900112,60,0.95,UP,1,True
1900120,60,0.9,DOWN,0,True
1900137,60,0.93,UP,1,True
1900146,60,0.95,UP,1,True
1900212,60,0.94,DOWN,0,True
1900358,37,0.9,DOWN,1,False
1900404,14,0.89,UP,1,True
1900576,60,0.96,DOWN,0,True
1900586,39,0.88,DOWN,1,False
1900596,53,0.88,DOWN,0,True
1900607,60,0.94,DOWN,0,True
1900647,35,0.88,DOWN,0,True
1900649,4,0.91,UP,1,True
1900664,60,0.91,UP,1,True
1900676,60,0.88,DOWN,0,True
1900691,60,0.88,DOWN,0,True
1900833,60,0.91,UP,1,True
1900925,27,0.88,DOWN,0,True
1900957,51,0.91,DOWN,0,True
1901099,60,0.89,UP,0,False
1901123,5,0.88,UP,1,True
1901150,60,0.99,UP,1,True
1901167,60,0.88,DOWN,0,True
1901299,42,0.88,DOWN,0,True
1901304,60,0.89,UP,0,False
1901317,60,0.95,DOWN,0,True
1901326,60,0.89,UP,1,True
1901513,60,0.88,DOWN,0,True
1901822,60,0.91,UP,1,True
1902233,60,0.99,UP,1,True
1902236,0,0.99,UP,1,True
1902495,3,0.92,UP,1,True
1902507,32,0.88,DOWN,1,False
1902533,60,0.96,UP,1,True
1902548,59,0.91,DOWN,0,True
1902575,60,0.97,UP,1,True
1902586,18,0.88,UP,1,True
1902591,59,0.91,UP,1,True
1902604,60,0.93,DOWN,0,True
1902636,58,0.89,UP,0,False
1902786,1,0.99,UP,1,True
1902878,60,0.89,UP,1,True
1903032,3,0.91,UP,1,True
1903040,60,0.94,UP,1,True
1903045,60,0.94,DOWN,0,True
1903049,59,0.9,UP,0,False
1903088,26,0.88,DOWN,1,False
1903091,51,0.89,DOWN,0,True
1903107,48,0.88,DOWN,0,True
1903115,30,0.88,UP,1,True
1903270,4,0.88,DOWN,0,True
1903415,60,0.99,DOWN,0,True
1903447,45,0.88,UP,1,True
1903457,60,0.992,UP,1,True
1903643,11,0.99,UP,1,True
1903655,5,0.88,DOWN,1,False
1903696,7,0.89,DOWN,0,True
1903705,60,0.88,DOWN,0,True
1903731,42,0.88,UP,1,True
1903742,7,0.9,UP,1,True
1903761,36,0.9,DOWN,0,True
1903770,52,0.88,DOWN,0,True
1903816,60,0.94,DOWN,0,True
1903966,60,0.97,DOWN,0,True
1903979,60,0.96,UP,1,True
1903988,50,0.9,UP,1,True
1904131,0,0.99,UP,1,True
1904136,60,0.93,UP,1,True
1904152,13,0.9,DOWN,0,True
1904158,60,0.99,DOWN,0,True
1904194,22,0.91,UP,1,True
1904199,60,0.88,DOWN,0,True
1904217,60,0.95,DOWN,0,True
1904233,43,0.9,UP,1,True
1904247,21,0.88,UP,1,True
1904402,60,0.99,UP,1,True
1904428,39,0.89,UP,1,True
1904432,60,0.982,DOWN,0,True
1904596,60,0.97,DOWN,0,True
1904605,3,0.96,UP,1,True
1904613,59,0.89,UP,1,True
1904650,60,0.99,DOWN,0,True
1904654,60,0.96,DOWN,0,True
1904675,44,0.88,UP,1,True
1904686,27,0.88,DOWN,0,True
1904706,60,0.96,UP,1,True
1904850,60,0.96,UP,1,True
1904859,60,0.93,UP,0,False
1904866,26,0.88,DOWN,0,True
1905015,17,0.95,UP,1,True
1905025,21,0.99,DOWN,0,True
1905030,60,0.99,DOWN,0,True
1905048,60,0.98,UP,1,True
1905076,60,0.92,DOWN,0,True
1905082,60,0.98,DOWN,0,True
1905106,60,0.92,UP,1,True
1905113,60,0.97,UP,1,True
1905147,9,0.89,DOWN,0,True
1905287,19,0.88,DOWN,0,True
1905346,60,0.96,UP,1,True
1905350,60,0.96,DOWN,0,True
1905495,30,0.88,UP,1,True
1905508,0,0.99,UP,1,True
1905547,51,0.88,DOWN,0,True
1905557,60,0.99,DOWN,0,True
1905590,60,0.97,UP,1,True
1905596,60,0.89,UP,1,True
1905603,50,0.89,UP,1,True
1905616,60,0.96,DOWN,0,True
1905691,60,0.98,DOWN,0,True
1905837,60,0.96,UP,1,True
1905849,60,0.95,UP,1,True
1905856,60,0.97,UP,1,True
1905996,9,0.88,UP,1,True
1906005,0,0.999,DOWN,0,True
1906024,60,0.91,UP,1,True
1906031,60,0.99,DOWN,0,True
1906073,60,0.99,DOWN,0,True
1906080,60,0.94,UP,1,True
1906082,15,0.92,UP,1,True
