market_id,entry_secs,entry_price,side,resolution,win
1900833,120,0.87,UP,1,True
1900925,120,0.86,DOWN,0,True
1900957,51,0.91,DOWN,0,True
1901099,120,0.85,UP,0,False
1901123,120,0.76,UP,1,True
1901150,120,0.92,UP,1,True
1901167,120,0.91,DOWN,0,True
1901299,118,0.78,DOWN,0,True
1901304,120,0.92,UP,0,False
1901317,120,0.91,DOWN,0,True
1901326,108,0.76,UP,1,True
1901513,120,0.89,DOWN,0,True
1901822,120,0.91,UP,1,True
1902233,120,0.98,UP,1,True
1902236,0,0.99,UP,1,True
1902495,76,0.76,UP,1,True
1902507,118,0.82,DOWN,1,False
1902533,120,0.81,UP,1,True
1902548,120,0.8,DOWN,0,True
1902575,120,0.9,UP,1,True
1902586,26,0.83,DOWN,1,False
1902591,120,0.78,UP,1,True
1902604,120,0.9,DOWN,0,True
1902636,120,0.8,UP,0,False
1902786,120,0.83,DOWN,1,False
1902878,120,0.8,UP,1,True
1902882,115,0.78,UP,1,True
1903032,79,0.76,UP,1,True
1903040,120,0.91,UP,1,True
1903045,120,0.84,DOWN,0,True
1903049,82,0.79,UP,0,False
1903088,81,0.75,DOWN,1,False
1903091,91,0.75,UP,0,False
1903107,104,0.77,DOWN,0,True
1903115,120,0.89,UP,1,True
1903270,95,0.78,DOWN,0,True
1903415,120,0.96,DOWN,0,True
1903447,120,0.84,UP,1,True
1903457,120,0.98,UP,1,True
1903643,11,0.99,UP,1,True
1903655,98,0.77,UP,1,True
1903696,120,0.88,DOWN,0,True
1903705,120,0.87,DOWN,0,True
1903731,113,0.78,UP,1,True
1903742,10,0.75,UP,1,True
1903761,43,0.81,DOWN,0,True
1903770,118,0.75,DOWN,0,True
1903816,120,0.9,DOWN,0,True
1903966,120,0.89,DOWN,0,True
1903979,107,0.76,UP,1,True
1903988,52,0.8,UP,1,True
1904131,0,0.99,UP,1,True
1904136,120,0.77,UP,1,True
1904152,51,0.8,DOWN,0,True
1904158,120,0.98,DOWN,0,True
1904194,120,0.75,UP,1,True
1904199,120,0.83,DOWN,0,True
1904217,120,0.85,DOWN,0,True
1904233,120,0.76,UP,1,True
1904247,98,0.8,UP,1,True
1904402,120,0.95,UP,1,True
1904428,39,0.89,UP,1,True
1904432,120,0.961,DOWN,0,True
1904589,120,0.79,UP,1,True
